Species,Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Color,Category.Two.Defects,altitude_mean_meters,categoria_altitud,Nombre_Comercial,Puntaje_Real,Puntaje_Predicho,Clasificacion_Real,Clasificacion_Predicha,Acierto
Arabica,cafebras,Brazil,cerrado,305,59 kg,Brazil Specialty Coffee Association,"April 24th, 2015",Catuai,Natural / Dry,7.67,7.75,7.75,7.67,7.83,7.75,7.75,84.17,0.0,0,Green,16,1150.0,Media (Arabica),Select Harvest CAF,84.17,82.24791931629622,Premium,Estándar,No
Arabica,"ceca, s.a.",Costa Rica,tarrazu,320,69 kg,Specialty Coffee Ass,"April 10th, 2015",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,7.83,84.17,0.0,0,Blue-Green,0,1850.0,Premium (Arabica),Select Harvest CEC,84.17,83.73006423255032,Premium,Premium,Sí
Arabica,asefa dukamo keroma,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 26th, 2015",Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,7.75,84.17,0.1,0,Green,5,1606.5,Alta (Arabica),Select Harvest ASE,84.17,84.86311074353176,Premium,Premium,Sí
Arabica,selian coffee estate,"Tanzania, United Republic Of",Other,10,60 kg,Africa Fine Coffee Association,"December 12th, 2014",Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,7.67,84.17,0.13,0,Green,0,1400.0,Media (Arabica),Select Harvest SEL,84.17,81.95597895803246,Premium,Estándar,No
Arabica,olam agro colombia,Colombia,huila,250,1 kg,Almacafé,"October 15th, 2014",Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,7.5,84.17,0.12,0,Green,4,1530.0,Alta (Arabica),Private Reserve OLA,84.17,83.14690688180933,Premium,Premium,Sí
Arabica,chris finch,Guatemala,Other,275,5 lbs,Specialty Coffee Association,"July 16th, 2014",Bourbon,Washed / Wet,7.67,7.75,7.67,7.75,7.75,7.75,7.83,84.17,0.11,0,Blue-Green,0,431.999136,Baja (Arabica),Private Reserve CHR,84.17,83.25084105202393,Premium,Premium,Sí
Arabica,itochu corporation,Kenya,Other,300,18000 kg,Kenya Coffee Traders Association,"November 7th, 2013",SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,7.75,84.17,0.08,0,Green,0,250.5,Baja (Arabica),Select Harvest ITO,84.17,83.24733931492925,Premium,Premium,Sí
Arabica,owen carver,Brazil,Other,1,2 kg,Specialty Coffee Association,"May 20th, 2013",Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,7.67,84.17,0.11,0,Green,3,1038.5,Media (Arabica),Select Harvest OWE,84.17,82.3237385456268,Premium,Estándar,No
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"May 9th, 2013",Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,7.42,84.17,0.11,0,Green,4,399.4830720000001,Baja (Arabica),Mill JUA,84.17,81.77414188455778,Premium,Estándar,No
Arabica,atlantic specialty coffee,El Salvador,Other,275,2 kg,Specialty Coffee Association,"March 18th, 2013",Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,7.92,84.17,0.11,0,Blue-Green,2,1500.0,Alta (Arabica),Select Harvest ATL,84.17,84.0700893904817,Premium,Premium,Sí
Arabica,exportadora de cafe condor s.a,Colombia,huila,250,70 kg,Almacafé,"October 19th, 2012",Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,7.58,84.17,0.0,0,Green,2,1750.0,Alta (Arabica),Heritage EXP,84.17,83.70022021755713,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,Other,275,1 kg,Asociacion Nacional Del Café,"March 26th, 2012",Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,7.67,84.17,0.11,0,Blue-Green,2,431.999136,Baja (Arabica),Mill JUA,84.17,83.10910842021248,Premium,Premium,Sí
Arabica,afca,Uganda,Other,320,60 kg,Africa Fine Coffee Association,"February 13th, 2012",Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,7.67,84.17,0.11,0,Green,1,1600.0,Alta (Arabica),Private Reserve AFC,84.17,84.07034053933812,Premium,Premium,Sí
Arabica,pt.royal pacific indah international,Indonesia,Other,2,2 kg,Specialty Coffee Association of Indonesia,"May 24th, 2017",Other,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,7.75,84.13,0.12,0,Blue-Green,0,1350.0,Media (Arabica),Heritage PT.,84.13,83.23484526560556,Premium,Premium,Sí
Arabica,carcafe ltda ci,Colombia,huila,275,70 kg,Almacafé,"November 9th, 2017",Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,7.5,84.08,0.0,1,Green,3,442.0,Baja (Arabica),Mill CAR,84.08,83.20968290547874,Premium,Premium,Sí
Arabica,"lin, che-hao krude 林哲豪",Taiwan,Other,10,20 kg,Specialty Coffee Association,"May 18th, 2016",Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,7.92,84.08,0.1,0,Blue-Green,4,968.0,Baja (Arabica),Heritage LIN,84.08,82.28673214199735,Premium,Estándar,No
Arabica,juan luis alvarado romero,Guatemala,oriente,50,69 kg,Asociacion Nacional Del Café,"April 27th, 2016",Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,7.67,84.08,0.1,0,Green,4,431.999136,Baja (Arabica),Mill JUA,84.08,81.9599795556118,Premium,Estándar,No
Arabica,racafe & cia s.c.a,Colombia,huila,200,70 kg,Almacafé,"November 5th, 2014",Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,7.67,84.08,0.0,0,Green,2,1775.0,Alta (Arabica),Heritage RAC,84.08,83.70604411880196,Premium,Premium,Sí
Arabica,lusso lab,Guatemala,Other,1,2 kg,Specialty Coffee Association,"June 16th, 2014",Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,7.67,84.08,0.1,0,Blue-Green,10,1550.0,Alta (Arabica),Mill LUS,84.08,82.35559896819152,Premium,Estándar,No
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona,14,100 lbs,Specialty Coffee Association,"January 24th, 2013",Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,8.0,84.08,0.11,1,Green,9,157.93516800000003,Baja (Arabica),Private Reserve KON,84.08,81.08505509278167,Premium,Estándar,No
Arabica,andres martinez leon,Mexico,Other,300,1 kg,AMECAFE,"September 4th, 2012",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,7.83,84.08,0.11,1,Green,10,1480.0,Media (Arabica),Select Harvest AND,84.08,81.6021864452173,Premium,Estándar,No
Arabica,steven kil,Ethiopia,Other,100,60 kg,Specialty Coffee Association,"August 17th, 2012",Other,Natural / Dry,7.92,7.92,7.83,8.0,7.92,7.92,7.92,84.08,0.09,0,Green,15,1800.0,Premium (Arabica),Private Reserve STE,84.08,84.04874905902568,Premium,Premium,Sí
Arabica,amanda powers,Costa Rica,Other,275,150 lbs,Specialty Coffee Association,"January 11th, 2018",Caturra,Washed / Wet,7.58,7.75,7.67,7.75,7.83,7.75,7.67,84.0,0.08,1,Green,13,1300.0,Media (Arabica),Heritage AMA,84.0,81.90276947961584,Premium,Estándar,No
Arabica,kyagalanyi coffee ltd,Ethiopia,sidamo,320,60 kg,Uganda Coffee Development Authority,"June 5th, 2017",Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,7.92,84.0,0.11,3,Green,1,1800.0,Premium (Arabica),Mill KYA,84.0,83.89996576047778,Premium,Premium,Sí
Arabica,bismarck castro,Honduras,comayagua,275,66 kg,Instituto Hondureño del Café,"May 11th, 2017",Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,7.75,84.0,0.1,0,Green,5,1500.0,Alta (Arabica),Heritage BIS,84.0,82.37583134887296,Premium,Estándar,No
Arabica,juan luis alvarado romero,Guatemala,huehuetenango,275,69 kg,Asociacion Nacional Del Café,"June 10th, 2015",Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,7.58,84.0,0.12,0,Green,7,520.2570240000001,Baja (Arabica),Mill JUA,84.0,82.39020208775896,Premium,Estándar,No
Arabica,olam agro colombia,Colombia,huila,250,1 kg,Almacafé,"December 18th, 2014",Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,7.83,84.0,0.11,2,Green,7,1600.0,Alta (Arabica),Private Reserve OLA,84.0,82.85602428309038,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"August 8th, 2014",Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,7.5,84.0,0.1,0,Green,1,371.61216,Baja (Arabica),Mill JUA,84.0,83.25072973307522,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"June 27th, 2014",Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,7.83,84.0,0.1,0,Green,0,371.61216,Baja (Arabica),Mill JUA,84.0,82.97797829596432,Premium,Premium,Sí
Arabica,olam agro colombia,Colombia,huila,250,1 kg,Almacafé,"May 27th, 2014",Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,7.83,84.0,0.12,0,Green,0,1480.0,Media (Arabica),Private Reserve OLA,84.0,83.0191513088305,Premium,Premium,Sí
Arabica,compañia colombiana agroindustrial s.a,Colombia,santander,250,70 kg,Almacafé,"May 27th, 2014",Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,7.67,84.0,0.12,0,Green,0,1450.0,Media (Arabica),Heritage COM,84.0,83.89998324701708,Premium,Premium,Sí
Arabica,racafe & cia s.c.a,Colombia,huila,138,70 kg,Almacafé,"April 8th, 2014",Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,8.33,84.0,0.12,0,Green,3,1775.0,Alta (Arabica),Heritage RAC,84.0,83.00407264179975,Premium,Premium,Sí
Arabica,lusso lab,Ethiopia,sidamo,50,60 kg,Specialty Coffee Association,"January 17th, 2014",Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,7.83,84.0,0.09,4,Green,40,1550.0,Alta (Arabica),Mill LUS,84.0,81.5583204890873,Premium,Estándar,No
Arabica,ipanema coffees,Brazil,south of minas,320,60 kg,Specialty Coffee Association,"January 2nd, 2014",Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,7.92,84.0,0.1,0,Green,0,1260.0,Media (Arabica),Private Reserve IPA,84.0,83.0196493733854,Premium,Premium,Sí
Arabica,exportadora de cafe condor s.a,Colombia,cauca,270,70 kg,Almacafé,"June 21st, 2013",Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,7.67,84.0,0.11,0,Green,1,1700.0,Alta (Arabica),Heritage EXP,84.0,83.52588567567973,Premium,Premium,Sí
Arabica,ibero kenya limited,Kenya,Other,300,60 kg,Kenya Coffee Traders Association,"March 8th, 2013",Other,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,7.67,84.0,0.0,0,Green,2,1200.0,Media (Arabica),Heritage IBE,84.0,83.89994153338341,Premium,Premium,Sí
Arabica,doi tung development project,Thailand,thailand,2,1 kg,Specialty Coffee Association,"June 21st, 2012",Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.42,84.0,0.12,0,Green,0,800.0,Baja (Arabica),Origins DOI,84.0,82.01009228786009,Premium,Estándar,No
Arabica,taylor winch (coffee) ltd.,Kenya,Other,150,9000 kg,Kenya Coffee Traders Association,"May 31st, 2012",SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,7.67,84.0,0.0,0,Blue-Green,0,1650.0,Alta (Arabica),Heritage TAY,84.0,84.1003684667281,Premium,Premium,Sí
Arabica,afca,Uganda,Other,320,60 kg,Africa Fine Coffee Association,"February 13th, 2012",Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,7.58,84.0,0.1,10,Green,26,1700.0,Alta (Arabica),Private Reserve AFC,84.0,82.31475092107122,Premium,Estándar,No
Arabica,doi tung development project,Thailand,Other,1,60 kg,Specialty Coffee Association,"August 16th, 2011",Caturra,Washed / Wet,7.58,7.75,7.58,7.75,7.58,7.75,8.0,84.0,0.06,0,Blue-Green,0,800.0,Baja (Arabica),Origins DOI,84.0,83.18897801296147,Premium,Premium,Sí
Arabica,ipanema coffees,Brazil,south of minas,320,60 kg,Brazil Specialty Coffee Association,"October 20th, 2017",Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,8.5,83.92,0.0,0,Green,3,890.0,Baja (Arabica),Private Reserve IPA,83.92,82.74914184175545,Premium,Premium,Sí
Arabica,cafes tomari sa de cv,Mexico,veracruz,200,69 kg,Centro Agroecológico del Café A.C.,"July 3rd, 2017",Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,7.83,83.92,0.11,0,Green,5,1300.0,Media (Arabica),Select Harvest CAF,83.92,82.10480738188357,Premium,Estándar,No
Arabica,sarawut premjit,Thailand,Other,45,40 kg,Specialty Coffee Association,"October 18th, 2016",Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,7.83,83.92,0.1,0,Blue-Green,1,1350.0,Media (Arabica),Select Harvest SAR,83.92,83.76224131200561,Premium,Premium,Sí
Arabica,ipanema coffees,Brazil,south of minas,320,60 kg,Brazil Specialty Coffee Association,"August 16th, 2016",Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,7.83,83.92,0.11,0,Green,7,934.0,Baja (Arabica),Private Reserve IPA,83.92,82.45995241222266,Premium,Estándar,No
Arabica,"lin, che-hao krude 林哲豪",Taiwan,Other,20,50 kg,Specialty Coffee Association,"May 18th, 2016",Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,7.83,83.92,0.11,0,Green,3,1200.0,Media (Arabica),Heritage LIN,83.92,82.31605764483797,Premium,Estándar,No
Arabica,carcafe ltda ci,Colombia,huila,250,70 kg,Almacafé,"February 11th, 2016",Caturra,Washed / Wet,7.75,7.67,7.5,7.75,7.83,7.75,7.67,83.92,0.11,1,Green,2,442.0,Baja (Arabica),Mill CAR,83.92,83.36922439406885,Premium,Premium,Sí
Arabica,almacafe,Colombia,Other,226,70 kg,Almacafé,"January 21st, 2016",Caturra,Washed / Wet,7.75,7.58,7.5,7.83,7.75,7.92,7.58,83.92,0.0,1,Green,5,1750.0,Alta (Arabica),Mill ALM,83.92,83.48512914112777,Premium,Premium,Sí
Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Other,1,2 kg,Blossom Valley International,"November 7th, 2015",Typica,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,7.67,83.92,0.0,0,Blue-Green,0,750.0,Baja (Arabica),Select Harvest CQI,83.92,82.12434208960569,Premium,Estándar,No
Arabica,federacion nacional de cafeteros,Colombia,huila,275,2 kg,Almacafé,"August 18th, 2015",Caturra,Washed / Wet,7.92,7.67,7.5,7.83,7.58,7.67,7.75,83.92,0.0,0,Green,0,1750.0,Alta (Arabica),Select Harvest FED,83.92,83.57984940359765,Premium,Premium,Sí
Arabica,federacion nacional de cafeteros,Colombia,huila,275,2 kg,Almacafé,"March 12th, 2015",Caturra,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,7.67,83.92,0.0,1,Green,1,1750.0,Alta (Arabica),Select Harvest FED,83.92,83.54064245173642,Premium,Premium,Sí
Arabica,racafe & cia s.c.a,Colombia,huila,275,70 kg,Almacafé,"December 12th, 2014",Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,7.58,83.92,0.0,0,Green,1,1775.0,Alta (Arabica),Heritage RAC,83.92,83.65404093529278,Premium,Premium,Sí
Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Other,10,60 kg,Blossom Valley International,"November 23rd, 2014",Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,7.17,83.92,0.06,0,Green,0,950.0,Baja (Arabica),Select Harvest CQI,83.92,82.308150933392,Premium,Estándar,No
Arabica,compañia colombiana agroindustrial s.a,Colombia,santander,250,70 kg,Almacafé,"January 17th, 2014",Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,7.5,83.92,0.12,0,Green,3,1550.0,Alta (Arabica),Heritage COM,83.92,83.91105972127998,Premium,Premium,Sí
Arabica,oscar ortega carballo,Mexico,Other,48,1 kg,AMECAFE,"July 3rd, 2012",Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,7.67,83.92,0.12,10,Blue-Green,32,900.0,Baja (Arabica),Mill OSC,83.92,82.01520903423281,Premium,Estándar,No
Arabica,alfredo bojalil,Mexico,la concordia,250,1 kg,AMECAFE,"June 6th, 2012",Typica,Washed / Wet,7.5,7.67,7.58,7.83,7.75,7.75,7.83,83.92,0.11,0,Green,2,1500.0,Alta (Arabica),Origins ALF,83.92,81.94672817002376,Premium,Estándar,No
Arabica,organizaciones de productores de cafe colimense,Mexico,Other,20,1 kg,AMECAFE,"April 2nd, 2012",Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,7.75,83.92,0.0,0,Green,2,1400.0,Media (Arabica),Origins ORG,83.92,81.57231285604409,Premium,Estándar,No
Arabica,carcafe ltda ci,Colombia,Other,275,70 kg,Almacafé,"June 30th, 2017",Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,7.75,83.83,0.0,1,Green,6,2527.0,Premium (Arabica),Mill CAR,83.83,83.61515594469424,Premium,Premium,Sí
Arabica,racafe & cia s.c.a,Colombia,huila,275,70 kg,Almacafé,"March 14th, 2017",Caturra,Washed / Wet,7.83,7.67,7.5,7.75,7.75,7.75,7.58,83.83,0.0,1,Green,0,1750.0,Alta (Arabica),Heritage RAC,83.83,83.4700679018991,Premium,Premium,Sí
Arabica,"ceca, s.a.",Costa Rica,tarrazu,275,69 kg,Specialty Coffee Association of Costa Rica,"June 6th, 2016",Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,7.83,83.83,0.0,0,Blue-Green,0,1850.0,Premium (Arabica),Select Harvest CEC,83.83,83.73006423255032,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,antigua,100,69 kg,Asociacion Nacional Del Café,"May 23rd, 2016",Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,7.67,83.83,0.11,0,Green,6,1500.0,Alta (Arabica),Mill JUA,83.83,82.43942348554877,Premium,Estándar,No
Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,Other,167,30 kg,Blossom Valley International,"February 23rd, 2016",Typica,Washed / Wet,7.75,7.67,7.5,7.75,7.75,7.67,7.75,83.83,0.0,0,Green,0,1200.0,Media (Arabica),Select Harvest CQI,83.83,82.16736170935141,Premium,Estándar,No
Arabica,ipanema coffees,Brazil,south of minas,320,2 kg,Brazil Specialty Coffee Association,"October 8th, 2015",Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,8.0,83.83,0.0,0,Green,0,1.0,Baja (Arabica),Private Reserve IPA,83.83,82.25220756981413,Premium,Estándar,No
Arabica,"lin, che-hao krude 林哲豪",Taiwan,"dongshan dist., tainan city 臺南市東山區",8,18 kg,Specialty Coffee Association,"April 30th, 2015",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,7.83,83.83,0.0,0,Green,1,525.0,Baja (Arabica),Heritage LIN,83.83,81.94277323976246,Premium,Estándar,No
Arabica,yasmin cofffee plantation plc,Ethiopia,Other,320,60 kg,METAD Agricultural Development plc,"March 31st, 2015",Other,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,7.75,83.83,0.12,0,Green,4,1676.5,Alta (Arabica),Mill YAS,83.83,85.44019701163504,Premium,Premium,Sí
Arabica,ipanema coffees,Brazil,south of minas,300,2 kg,Specialty Coffee Association,"October 16th, 2014",Bourbon,Semi-Washed / Semi-Pulped,7.67,7.67,7.58,7.5,7.83,8.17,8.08,83.83,0.0,0,Green,1,1200.0,Media (Arabica),Private Reserve IPA,83.83,82.54157849726117,Premium,Premium,Sí
Arabica,eric thormaehlen,Costa Rica,Other,250,1 kg,Specialty Coffee Association of Costa Rica,"June 9th, 2014",Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,7.67,83.83,0.1,0,Green,3,1300.0,Media (Arabica),Heritage ERI,83.83,82.97961667301284,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"May 22nd, 2014",Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,7.75,83.83,0.1,0,Green,1,371.61216,Baja (Arabica),Mill JUA,83.83,82.57334353761635,Premium,Premium,Sí
Arabica,ipanema coffees,Brazil,south of minas,320,60 kg,Specialty Coffee Association,"December 26th, 2013",Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,7.75,83.83,0.1,0,Green,0,1260.0,Media (Arabica),Private Reserve IPA,83.83,83.0196493733854,Premium,Premium,Sí
Arabica,garet alban,Other,Other,1,5 lbs,Specialty Coffee Association,"October 4th, 2013",Other,Natural / Dry,7.5,7.67,7.58,7.75,7.83,7.83,7.67,83.83,0.09,0,Blue-Green,0,800.0,Baja (Arabica),Heritage GAR,83.83,82.43424402255732,Premium,Estándar,No
Arabica,exportadora de cafe condor s.a,Colombia,huila,250,70 kg,Almacafé,"September 3rd, 2013",Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,7.92,83.83,0.11,0,Green,1,1750.0,Alta (Arabica),Heritage EXP,83.83,83.13111757525243,Premium,Premium,Sí
Arabica,juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,"April 26th, 2013",Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,7.67,83.83,0.11,0,Green,3,399.4830720000001,Baja (Arabica),Mill JUA,83.83,81.99920519443428,Premium,Estándar,No
Arabica,filemon mendoza campos,Mexico,Other,20,1 kg,AMECAFE,"July 26th, 2012",Bourbon,Natural / Dry,7.67,8.0,7.67,7.42,7.67,7.5,7.92,83.83,0.1,0,Green,2,1218.0,Media (Arabica),Private Reserve FIL,83.83,83.09010134064962,Premium,Premium,Sí
Arabica,alfredo bojalil,Mexico,"la concordia, chiapas",250,1 kg,AMECAFE,"June 6th, 2012",Pacas,Natural / Dry,7.67,7.58,7.5,7.75,7.75,7.75,7.83,83.83,0.11,0,Green,4,1300.0,Media (Arabica),Origins ALF,83.83,82.7546584271154,Premium,Premium,Sí
Arabica,jacques pereira carneiro,Brazil,Other,300,1 kg,NUCOFFEE,"December 21st, 2011",Yellow Bourbon,Semi-Washed / Semi-Pulped,7.83,7.83,7.58,7.67,7.5,7.58,7.83,83.83,0.12,0,Green,3,1250.0,Media (Arabica),Select Harvest JAC,83.83,82.66913051483859,Premium,Premium,Sí
Arabica,doi chaang coffee company,Thailand,Other,175,50 kg,Specialty Coffee Association,"September 20th, 2011",Caturra,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.58,7.5,83.83,0.02,0,Blue-Green,2,457.17585984,Baja (Arabica),Heritage DOI,83.83,82.97882250315484,Premium,Premium,Sí
Arabica,doi tung development project,Thailand,Other,1,60 kg,Specialty Coffee Association,"August 16th, 2011",Caturra,Washed / Wet,7.5,7.83,7.58,7.58,7.75,7.83,7.75,83.83,0.01,0,Blue-Green,0,800.0,Baja (Arabica),Origins DOI,83.83,83.11306856243256,Premium,Premium,Sí
Arabica,ethiopia commodity exchange,Ethiopia,sidamo,300,6,Ethiopia Commodity Exchange,"June 17th, 2010",Other,Natural / Dry,7.58,7.83,7.58,8.0,7.83,7.5,7.5,83.83,0.1,0,Green,3,1800.0,Premium (Arabica),Select Harvest ETH,83.83,85.31410148079918,Premium,Premium,Sí
Arabica,kennedy macharia,Kenya,Other,200,60 kg,Kenya Coffee Traders Association,"January 11th, 2018",SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,7.83,83.75,0.11,0,Green,2,1800.0,Premium (Arabica),Select Harvest KEN,83.75,83.95712179616766,Premium,Premium,Sí
Arabica,ipanema coffees,Brazil,south of minas,320,60 kg,Brazil Specialty Coffee Association,"October 20th, 2017",Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,7.75,83.75,0.11,0,Green,5,890.0,Baja (Arabica),Private Reserve IPA,83.75,82.55968362231135,Premium,Premium,Sí
Arabica,carcafe ltda ci,Colombia,huila,275,70 kg,Almacafé,"September 28th, 2017",Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,7.75,83.75,0.11,0,Green,1,442.0,Baja (Arabica),Mill CAR,83.75,83.44782988699357,Premium,Premium,Sí
Arabica,"lin, che-hao krude 林哲豪",Taiwan,Other,10,10 kg,Specialty Coffee Association,"June 6th, 2017",Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,7.75,83.75,0.0,0,Green,0,750.0,Baja (Arabica),Heritage LIN,83.75,81.9147386795548,Premium,Estándar,No
Arabica,racafe & cia s.c.a,Colombia,huila,275,70 kg,Almacafé,"February 15th, 2017",Caturra,Washed / Wet,7.92,7.75,7.5,7.67,7.75,7.5,7.67,83.75,0.0,1,Green,4,1750.0,Alta (Arabica),Heritage RAC,83.75,83.65030877219057,Premium,Premium,Sí
Arabica,yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,"April 6th, 2016",Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,7.75,83.75,0.1,0,Green,2,1650.0,Alta (Arabica),Private Reserve YUN,83.75,83.64991638253197,Premium,Premium,Sí
Arabica,carcafe ltda ci,Colombia,huila,250,70 kg,Almacafé,"November 27th, 2015",Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,7.75,83.75,0.0,0,Green,0,442.0,Baja (Arabica),Mill CAR,83.75,83.12573955288,Premium,Premium,Sí
Arabica,nile highland arabica coffee farmers,Uganda,Other,320,60 kg,Uganda Coffee Development Authority,"June 30th, 2014",Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,7.67,83.75,0.12,0,Green,0,1400.0,Media (Arabica),Mill NIL,83.75,83.64983214666044,Premium,Premium,Sí
Arabica,german negron,Other,Other,18,5 lbs,Specialty Coffee Association,"June 9th, 2014",Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,7.75,83.75,0.12,0,Green,1,260.12851200000006,Baja (Arabica),Origins GER,83.75,80.71299295940373,Premium,Estándar,No
Arabica,racafe & cia s.c.a,Colombia,huila,100,70 kg,Almacafé,"February 5th, 2014",Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,7.67,83.75,0.0,0,Green,5,1775.0,Alta (Arabica),Heritage RAC,83.75,83.74790080486181,Premium,Premium,Sí
Arabica,olam agro colombia,Colombia,huila,250,70 kg,Almacafé,"January 24th, 2014",Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,7.5,83.75,0.0,0,Green,3,1550.0,Alta (Arabica),Private Reserve OLA,83.75,83.64980444536306,Premium,Premium,Sí
